ds,y
2004-01,4
2004-02,2
2004-03,2
2004-04,1
2004-05,1
2004-06,1
2004-07,2
2004-08,2
2004-09,3
2004-10,5
2004-11,17
2004-12,75
2005-01,5
2005-02,3
2005-03,2
2005-04,1
2005-05,2
2005-06,2
2005-07,2
2005-08,2
2005-09,2
2005-10,4
2005-11,18
2005-12,74
2006-01,5
2006-02,2
2006-03,2
2006-04,2
2006-05,2
2006-06,1
2006-07,2
2006-08,2
2006-09,2
2006-10,5
2006-11,17
2006-12,85
2007-01,6
2007-02,3
2007-03,2
2007-04,2
2007-05,2
2007-06,3
2007-07,2
2007-08,2
2007-09,3
2007-10,5
2007-11,20
2007-12,90
2008-01,7
2008-02,3
2008-03,2
2008-04,2
2008-05,2
2008-06,2
2008-07,2
2008-08,2
2008-09,3
2008-10,5
2008-11,19
2008-12,84
2009-01,6
2009-02,3
2009-03,2
2009-04,3
2009-05,2
2009-06,2
2009-07,2
2009-08,3
2009-09,3
2009-10,6
2009-11,19
2009-12,94
2010-01,7
2010-02,3
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,3
2010-10,5
2010-11,22
2010-12,100
2011-01,8
2011-02,4
2011-03,3
2011-04,3
2011-05,2
2011-06,2
2011-07,2
2011-08,2
2011-09,3
2011-10,5
2011-11,21
2011-12,96
2012-01,9
2012-02,6
2012-03,4
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,3
2012-10,5
2012-11,19
2012-12,92
2013-01,6
2013-02,3
2013-03,3
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,4
2013-11,19
2013-12,78
2014-01,5
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,3
2014-10,4
2014-11,17
2014-12,80
2015-01,6
2015-02,3
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,3
2015-10,4
2015-11,18
2015-12,76
2016-01,6
2016-02,2
2016-03,2
2016-04,2
2016-05,1
2016-06,1
2016-07,2
2016-08,2
2016-09,2
2016-10,4
2016-11,18
2016-12,98
2017-01,7
2017-02,3
2017-03,2
2017-04,2
2017-05,1
2017-06,2
2017-07,2
2017-08,2
2017-09,3
2017-10,5
2017-11,20
2017-12,80
2018-01,5
2018-02,2
2018-03,2
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,2
2018-09,3
2018-10,5
2018-11,20
2018-12,76
2019-01,5
2019-02,2
2019-03,2
2019-04,1
2019-05,1
2019-06,2
2019-07,2
2019-08,6
2019-09,6
